iter	RMSE
0	126.735084
1	113.0573706
2	101.8870888
3	92.59736256
4	84.73952773
5	77.63366848
6	72.48645429
7	67.05448013
8	62.34343424
9	58.41319722
10	55.20688082
11	52.3602205
12	49.96124862
13	48.16092863
14	46.84021333
15	45.5574734
16	43.98377295
17	42.97750842
18	42.29941092
19	40.95873843
20	40.21316636
21	39.42588185
22	38.85926902
23	38.59590596
24	38.13099964
25	37.85419034
26	37.0206131
27	36.48082224
28	36.28155078
29	36.06658634
30	35.49656988
31	35.17134107
32	34.80459752
33	34.50314623
34	34.22886803
35	34.05187065
36	33.90925655
37	33.57835937
38	33.41465913
39	33.25715056
40	33.12297677
41	32.91391282
42	32.75552184
43	32.60401669
44	32.48442863
45	32.34107912
46	32.23226306
47	32.00188251
48	31.90486079
49	31.74822795
50	31.61145223
51	31.35278617
52	31.30098965
53	31.16716717
54	31.05117137
55	30.83649455
56	30.69679024
57	30.60938971
58	30.51819802
59	30.34891449
60	30.1910129
61	30.08106334
62	29.93027706
63	29.85241441
64	29.75047009
65	29.66498759
66	29.53701177
67	29.42164531
68	29.36340961
69	29.31087617
70	29.23418815
71	29.12850938
72	29.04292072
73	28.96462781
74	28.86150767
75	28.79555839
76	28.73891351
77	28.69691191
78	28.6019175
79	28.51129738
80	28.37321208
81	28.2861703
82	28.22313365
83	28.14109385
84	28.10306438
85	28.06342153
86	28.01091488
87	27.93934368
88	27.85138678
89	27.75527714
90	27.72513529
91	27.61699966
92	27.562245
93	27.51567446
