iter	Passed	Remaining
0	37	3482
1	44	2061
2	49	1493
3	68	1536
4	73	1313
5	77	1136
6	80	1003
7	85	924
8	89	845
9	94	792
10	99	748
11	117	804
12	124	775
13	130	743
14	137	726
15	143	698
16	154	699
17	165	700
18	169	670
19	173	641
20	177	618
21	183	600
22	187	578
23	193	563
24	210	580
25	214	562
26	218	542
27	222	524
28	226	506
29	229	490
30	233	474
31	239	463
32	244	451
33	256	452
34	261	440
35	264	426
36	268	413
37	271	400
38	275	388
39	279	377
40	283	366
41	288	356
42	292	347
43	301	342
44	306	334
45	310	323
46	313	313
47	317	303
48	320	294
49	324	285
50	328	277
51	333	269
52	337	261
53	344	255
54	353	251
55	358	243
56	362	235
57	366	227
58	370	219
59	374	212
60	379	205
61	383	198
62	389	191
63	400	187
64	405	180
65	410	174
66	414	167
67	419	160
68	424	153
69	430	147
70	435	141
71	448	137
72	454	130
73	459	124
74	465	117
75	471	111
76	478	105
77	485	99
78	499	94
79	509	89
80	517	83
81	539	78
82	562	74
83	582	69
84	603	63
85	609	56
86	616	49
87	648	44
88	659	37
89	672	29
90	684	22
91	700	15
92	712	7
93	722	0
